position,source_column,dtype,non_null_count,missing_percentage,unique_count
250,"""('P6_h ', 'Em qual das opções abaixo você gasta a maior parte do seu tempo?')""",object,404,84.72589792060492,47
251,"""('P6_h_a ', 'Desenvolvendo pipelines de dados utilizando linguagens de programação como Python, Scala, Java etc.')""",float64,404,84.72589792060492,2
252,"""('P6_h_b ', 'Realizando construções de ETL's em ferramentas como Pentaho, Talend, Dataflow etc.')""",float64,404,84.72589792060492,2
253,"""('P6_h_c ', 'Criando consultas através da linguagem SQL para exportar informações e compartilhar com as áreas de negócio.')""",float64,404,84.72589792060492,2
254,"""('P6_h_d ', 'Atuando na integração de diferentes fontes de dados através de plataformas proprietárias como Stitch Data, Fivetran etc.')""",float64,404,84.72589792060492,2
255,"""('P6_h_e ', 'Modelando soluções de arquitetura de dados, criando componentes de ingestão de dados, transformação e recuperação da informação.')""",float64,404,84.72589792060492,2
256,"""('P6_h_f ', 'Desenvolvendo/cuidando da manutenção de repositórios de dados baseados em streaming de eventos como Data Lakes e Data Lakehouses.')""",float64,404,84.72589792060492,2
257,"""('P6_h_g ', 'Atuando na modelagem dos dados, com o objetivo de criar conjuntos de dados como Data Warehouses, Data Marts etc.')""",float64,404,84.72589792060492,2
258,"""('P6_h_h ', 'Cuidando da qualidade dos dados, metadados e dicionário de dados.')""",float64,404,84.72589792060492,2
259,"""('P7_a ', 'Quais das opções abaixo fazem parte da sua rotina no trabalho atual com análise de dados?')""",object,849,67.90170132325142,244
260,"""('P7_a_a ', 'Processo e analiso dados utilizando linguagens de programação como Python, R etc.')""",float64,849,67.90170132325142,2
261,"""('P7_a_b ', 'Realizo construções de dashboards em ferramentas de BI como PowerBI, Tableau, Looker, Qlik etc.')""",float64,849,67.90170132325142,2
262,"""('P7_a_c ', 'Utilizo API's para extrair dados e complementar minhas análises.')""",float64,849,67.90170132325142,2
263,"""('P7_a_d ', 'Realizo experimentos e estudos utilizando metodologias estatísticas como teste de hipótese, modelos de regressão etc.')""",float64,849,67.90170132325142,2
264,"""('P7_a_e ', 'Desenvolvo/cuido da manutenção de ETL's utilizando tecnologias como Talend, Pentaho, Airflow, Dataflow etc.')""",float64,849,67.90170132325142,2
265,"""('P7_a_f ', 'Atuo na modelagem dos dados, com o objetivo de criar conjuntos de dados, Data Warehouses, Data Marts etc.')""",float64,849,67.90170132325142,2
266,"""('P7_a_g ', 'Desenvolvo/cuido da manutenção de planilhas para atender as áreas de negócio.')""",float64,849,67.90170132325142,2
267,"""('P7_a_h ', 'Utilizo ferramentas avançadas de estatística como SAS')""",float64,849,67.90170132325142,2
268,"""('P7_b ', 'Quais as ferramentas/tecnologias de ETL que você utiliza no trabalho como Data Analyst?')""",object,848,67.93950850661625,190
269,"""('P7_b_a ', 'Scripts Python')""",float64,848,67.93950850661625,2
270,"""('P7_b_b ', 'SQL & Stored Procedures')""",float64,848,67.93950850661625,2
271,"""('P7_b_c ', 'Apache Airflow')""",float64,848,67.93950850661625,2
272,"""('P7_b_d ', 'Luigi')""",float64,848,67.93950850661625,2
273,"""('P7_b_e ', 'AWS Glue')""",float64,848,67.93950850661625,2
274,"""('P7_b_f ', 'Talend')""",float64,848,67.93950850661625,2
275,"""('P7_b_g ', 'Stitch')""",float64,848,67.93950850661625,2
276,"""('P7_b_h ', 'Fivetran')""",float64,848,67.93950850661625,2
277,"""('P7_b_i ', 'Google Dataflow')""",float64,848,67.93950850661625,2
278,"""('P7_b_j ', 'Oracle Data Integrator')""",float64,848,67.93950850661625,2
279,"""('P7_b_k ', 'IBM DataStage')""",float64,848,67.93950850661625,2
280,"""('P7_b_l ', 'SAP BW ETL')""",float64,848,67.93950850661625,2
281,"""('P7_b_m ', 'SQL Server Integration Services (SSIS)')""",float64,848,67.93950850661625,2
282,"""('P7_b_n ', 'SAS Data Integration')""",float64,848,67.93950850661625,2
283,"""('P7_b_o ', 'Qlik Sense')""",float64,848,67.93950850661625,2
284,"""('P7_b_p ', 'Knime')""",float64,848,67.93950850661625,2
285,"""('P7_b_q ', 'Não utilizo ferramentas de ETL')""",float64,848,67.93950850661625,2
286,"""('P7_c ', 'Sua empresa utiliza alguma das ferramentas listadas para dar mais autonomia em análise de dados para as áreas de negócio?')""",object,849,67.90170132325142,29
287,"""('P7_c_a ', 'Ferramentas de AutoML como H2O.ai, Data Robot, BigML etc.')""",float64,849,67.90170132325142,2
